```csv
Indicador,Valor,Unidade,Data,Fonte,Observacoes
Risco_Vacancia,4,Rating,"Março 2025","Análise de Risco KNRI11","Vacância financeira do fundo aumentou para 6,23%"
Risco_Concentracao_Geografica,3,Rating,"Março 2025","Análise de Risco KNRI11","Concentração significativa dos ativos do fundo na região de São Paulo"
Risco_Alavancagem,3,Rating,"Março 2025","Análise de Risco KNRI11","Fundo possui alavancagem representada pelo CRI Cabreúva e financiamento para o Biosquare"
Risco_Conclusao_Biosquare,3,Rating,"Março 2025","Análise de Risco KNRI11","Edifício Biosquare ainda está em construção, com conclusão prevista para o primeiro trimestre de 2026"
Risco_Mercado,2,Rating,"Março 2025","Análise de Risco KNRI11","Valor de mercado do fundo está com um desconto de aproximadamente 16% em relação ao valor patrimonial"
Risco_Inadimplencia,1,Rating,"Março 2025","Análise de Risco KNRI11","O relatório não apresenta informações diretas sobre inadimplência dos inquilinos"
Risco_Concentracao_Inquilinos,1,Rating,"Março 2025","Análise de Risco KNRI11","Fundo possui mais de 150 inquilinos, o que contribui para a diversificação da receita"
Receitas_Alugueis_Caixa,25240806,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Receitas_Alugueis_Antecipados,2454048,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Receita_Financeira,2178557,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Lucro_Venda_Ativo,1999580,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Reversao_Custo_Oferta,0,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Outras_Receitas,0,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Despesas_Condominiais,-580230,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Despesas_IPTU,-420860,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Outras_Despesas,-4169265,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Resultado,26702636,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Reserva,1501411,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Distribuicao,28204047,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Saldo_Inicial_Caixa,104006084,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Alugueis_Fluxo_Caixa,25113894,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Receita_Financeira_Fluxo_Caixa,2178557,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Receita_Venda_Ativo_Fluxo_Caixa,2957874,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Compra_Ativo,-550000,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Benfeitorias,-604038,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Taxa_Administracao,-3526773,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Despesas_Condominio_IPTU_Outros,-1643581,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Rendimentos_Distribuidos,-28203931,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Saldo_Final_Caixa,99728087,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Cota_Patrimonial,161.22,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",
Variacao_Cota_Patrimonial,0.03,%,,"Análise do Desempenho Financeiro do KNRI11","Variação positiva"
Patrimonio_Liquido,4547151519.19,R$,"Março 2025","Análise do Desempenho Financeiro do KNRI11",

```
